SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL,SOURCE,MLS#,LATITUDE,LONGITUDE
September-8-2017,Single Family Residential,112 Scotch Pine Rd,Weston,MA,2493,1200000,4,2.5,South Side near Cliff Estates,2600,105738,1959,174,462,,Sold,http://www.redfin.com/MA/Weston/112-Scotch-Pine-Rd-02493/home/8792514,MLS PIN,72183321,42.3220228,-71.3012249
September-21-2017,Single Family Residential,80 Sherburn Cir,Weston,MA,2493,2480000,5,5,Weston,5875,40075,2013,161,422,,Sold,http://www.redfin.com/MA/Weston/80-Sherburn-Cir-02493/home/8793880,MLS PIN,72155553,42.3166487,-71.3225214
January-26-2018,Single Family Residential,67 Yarmouth Rd,Wellesley,MA,2481,3050000,6,6.5,Peirce Estates,7625,21506,2017,34,400,,Sold,http://www.redfin.com/MA/Wellesley/67-Yarmouth-Rd-02481/home/8991754,MLS PIN,72241709,42.3181201,-71.3058647
,Single Family Residential,79 Manor Ave,Wellesley,MA,2482,1700000,4,4.5,,3590,10000,2016,,474,,,http://www.redfin.com/MA/Wellesley/79-Manor-Ave-02482/home/8999743,,,42.314149,-71.324359
January-29-2018,Single Family Residential,55 Sylvan Ln,Weston,MA,2493,1617000,5,5.5,Weston,5441,87120,1971,31,297,,Sold,http://www.redfin.com/MA/Weston/55-Sylvan-Ln-02493/home/8790349,MLS PIN,72170149,42.3284284,-71.3135436
June-30-2017,Single Family Residential,9 Morningside Dr,Shrewsbury,MA,1545,1070000,4,3.5,Shrewsbury,3675,21600,2013,244,291,,Sold,http://www.redfin.com/MA/Shrewsbury/9-Morningside-Dr-01545/home/55737672,MLS PIN,72140794,42.317822,-71.69174
May-1-2017,Single Family Residential,47 Greeley Cir,Arlington,MA,2474,1340000,5,3,Arlington,3589,6750,2017,304,373,,Sold,http://www.redfin.com/MA/Arlington/47-Greeley-Cir-02474/home/8435871,MLS PIN,72125804,42.432288,-71.169691
May-26-2017,Single Family Residential,4 Bowser Rd,Lexington,MA,2420,1939000,5,5,Lexington,7162,31363,2000,279,271,,Sold,http://www.redfin.com/MA/Lexington/4-Bowser-Rd-02420/home/8574146,MLS PIN,72117732,42.456219,-71.215867
June-14-2017,Single Family Residential,2 Peartree Dr,Lexington,MA,2420,1410000,5,4.5,Lexington,4000,12196,2016,260,353,,Sold,http://www.redfin.com/MA/Lexington/2-Peartree-Dr-02420/home/8563637,MLS PIN,72129184,42.447491,-71.197552
August-23-2017,Single Family Residential,138 Laconia St,Lexington,MA,2420,1495000,4,3.5,Lexington,5130,30436,2011,190,291,,Sold,http://www.redfin.com/MA/Lexington/138-Laconia-St-02420/home/39988686,MLS PIN,72172617,42.4562419,-71.2038775
August-14-2017,Single Family Residential,10 Grey Oaks Cir #10,Lexington,MA,2421,1409000,4,4.5,LINCOLN WOODS,4260,,2017,199,331,560,Sold,http://www.redfin.com/MA/Lexington/10-Lexington-Ave-02421/unit-10/home/113067409,MLS PIN,72105883,42.4303725,-71.2136702
June-30-2017,Single Family Residential,31 Amherst Rd,Belmont,MA,2478,1475000,4,3,Belmont,2576,20404,1954,244,573,,Sold,http://www.redfin.com/MA/Belmont/31-Amherst-Rd-02478/home/8453845,MLS PIN,72174439,42.4092578,-71.1852562
,Single Family Residential,303 Marsh St,Belmont,MA,2478,2560000,4,4.5,,6473,132374,1932,,395,,,http://www.redfin.com/MA/Belmont/303-Marsh-St-02478/home/8456720,,,42.4076462,-71.1950028
June-14-2017,Single Family Residential,9 Pilgrim Dr,Winchester,MA,1890,1037000,3,2.5,Winchester,2541,16330,1960,260,408,,Sold,http://www.redfin.com/MA/Winchester/9-Pilgrim-Dr-01890/home/11464000,MLS PIN,72138276,42.4499111,-71.166969
August-16-2017,Single Family Residential,75 Thornberry Rd,Winchester,MA,1890,1500000,4,3.5,Winchester,4420,20100,1965,197,339,,Sold,http://www.redfin.com/MA/Winchester/75-Thornberry-Rd-01890/home/11465550,MLS PIN,72172769,42.4449914,-71.1842815
June-15-2017,Single Family Residential,12 Minola Rd,Lexington,MA,2421,1750200,5,4.5,Lexington,4168,11820,2008,259,420,,Sold,http://www.redfin.com/MA/Lexington/12-Minola-Rd-02421/home/11776249,MLS PIN,72149522,42.4415592,-71.2240787
August-25-2017,Single Family Residential,37 Tarbell Ave,Lexington,MA,2421,1490000,4,4.5,Lexington,3745,12196,2014,188,398,,Sold,http://www.redfin.com/MA/Lexington/37-Tarbell-Ave-02421/home/8545737,MLS PIN,72201212,42.4224352,-71.199087
October-2-2017,Single Family Residential,31 Circle Rd,Lexington,MA,2420,1016000,4,2.5,Lexington,2976,18985,1966,150,341,,Sold,http://www.redfin.com/MA/Lexington/31-Circle-Rd-02420/home/8549681,MLS PIN,72218584,42.4316249,-71.1959775
May-12-2017,Single Family Residential,31 Whipple Rd,Lexington,MA,2420,2147888,5,4.5,SUN VALLEY,6046,35227,2016,293,355,,Sold,http://www.redfin.com/MA/Lexington/31-Whipple-Rd-02420/home/8557777,MLS PIN,72014820,42.4408348,-71.185349
November-20-2017,Single Family Residential,273 WOBURN St,Lexington,MA,2420,1535000,5,4.5,Lexington,4852,22034,2015,101,316,,Sold,http://www.redfin.com/MA/Lexington/273-Woburn-St-02420/home/8563973,MLS PIN,72241938,42.4482254,-71.202475
July-27-2017,Single Family Residential,7 Woodland Rd,Lexington,MA,2420,2200000,5,6,Meriam Hill,4742,13790,2008,217,464,,Sold,http://www.redfin.com/MA/Lexington/7-Woodland-Rd-02420/home/11776348,MLS PIN,72177804,42.4577871,-71.2236843
August-21-2017,Single Family Residential,3 Pocahontas Dr,Winchester,MA,1890,1900000,5,4.5,Winchester,4980,18051,2017,192,382,,Sold,http://www.redfin.com/MA/Winchester/3-Pocahontas-Dr-01890/home/11462084,MLS PIN,72165485,42.4425772,-71.1704966
June-27-2017,Single Family Residential,9 Lockeland Rd,Winchester,MA,1890,1365000,4,3,Winchester,2535,15014,2013,247,538,,Sold,http://www.redfin.com/MA/Winchester/9-Lockeland-Rd-01890/home/11462255,MLS PIN,72139820,42.4442536,-71.1683615
August-11-2017,Single Family Residential,5 SQUIRE Rd,Winchester,MA,1890,1380000,6,3.5,Winchester,4215,17913,2016,202,327,,Sold,http://www.redfin.com/MA/Winchester/5-Squire-Rd-01890/home/11466152,MLS PIN,72100791,42.4524611,-71.1787119
August-21-2017,Single Family Residential,7 Montrose St,Somerville,MA,2143,1125000,4,2.5,Somerville,2271,2864,1900,192,495,,Sold,http://www.redfin.com/MA/Somerville/7-Montrose-St-02143/home/8716452,MLS PIN,72159143,42.3883339,-71.0982222
January-31-2018,Single Family Residential,82 Line,Somerville,MA,2143,1375000,5,3.5,Inman Square,2184,1625,1900,29,630,,Sold,http://www.redfin.com/MA/Somerville/82-Line-St-02143/home/8725558,MLS PIN,72255197,42.3759134,-71.1047562
,Single Family Residential,97 Bellevue Ave,Melrose,MA,2176,1200000,5,4.5,,6478,16362,1883,,185,,,http://www.redfin.com/MA/Melrose/97-Bellevue-Ave-02176/home/11783213,,,42.4610813,-71.0581106
August-28-2017,Single Family Residential,5 Tappan Ct,Lynnfield,MA,1940,1096000,4,2.5,Lynnfield,2946,40816,2005,185,372,,Sold,http://www.redfin.com/MA/Lynnfield/5-Tappan-Ct-01940/home/11338477,MLS PIN,72174818,42.535899,-71.0661423
June-2-2017,Single Family Residential,12 Tower Rd,Lexington,MA,2421,1075000,4,3.5,Lexington,2465,8045,1930,272,436,,Sold,http://www.redfin.com/MA/Lexington/12-Tower-Rd-02421/home/8553889,MLS PIN,72135050,42.434283,-71.211788
June-2-2017,Single Family Residential,20 Vine Brook Rd,Lexington,MA,2421,1569000,4,3.5,Lexington,3395,12196,1925,272,462,,Sold,http://www.redfin.com/MA/Lexington/20-Vine-Brook-Rd-02421/home/8564711,MLS PIN,72121997,42.445868,-71.226001
March-30-2017,Single Family Residential,18 Keeler Farm Way,Lexington,MA,2420,2200000,5,6.5,Lexington,6382,12627,2017,336,345,100,Sold,http://www.redfin.com/MA/Lexington/18-Keeler-Farm-Way-02420/home/65552211,MLS PIN,72009378,42.459139,-71.215771
