id	name	year	rating	runtime	genre	earnings_rank
1013752	Fast & Furious	2009	PG13	107	A,D,T	\N
1046173	G.I. Joe: The Rise of Cobra	2009	PG13	118	A,V,S,T	\N
1205489	Gran Torino	2009	R	116	D	\N
361748	Inglourious Basterds	2009	R	153	D,T,W	\N
1013753	Milk	2009	R	128	D,R	\N
1114740	Paul Blart: Mall Cop	2009	PG	91	A,C,F	\N
929632	Precious: Based on the Novel Push by Sapphire	2009	R	109	D	\N
936501	Taken	2009	PG13	93	A,D,T	\N
976051	The Reader	2009	R	124	D,R	\N
451079	Horton Hears a Who!	2008	\N	88	V,N,C,F	\N
795421	Mamma Mia!	2008	PG13	108	C,L,R	\N
1000774	Sex and the City	2008	R	148	C,D,R	\N
1010048	Slumdog Millionaire	2008	R	120	D,R	\N
499448	The Chronicles of Narnia: Prince Caspian	2008	PG	144	A,V,D,Y,T	\N
887912	The Hurt Locker	2008	R	131	A,D,T,W	\N
469494	There Will Be Blood	2008	R	158	D	\N
497465	Vicky Cristina Barcelona	2008	PG13	96	D,R	\N
467406	Juno	2007	PG13	96	C,D	\N
478311	Knocked Up	2007	R	129	C,D,R	\N
465538	Michael Clayton	2007	R	119	A,D,T	\N
450188	Mome, La	2007	PG13	140	D	\N
477348	No Country for Old Men	2007	R	122	D,T	\N
293564	Rush Hour 3	2007	PG13	91	A,C,T	\N
389860	Click	2006	PG13	107	C,D,Y	\N
443489	Dreamgirls	2006	PG13	131	D,L	\N
449059	Little Miss Sunshine	2006	R	101	C,D	\N
317919	Mission: Impossible III	2006	PG13	126	A,V,T	\N
327084	Over the Hedge	2006	PG	83	V,N,C,F	\N
415306	Talladega Nights: The Ballad of Ricky Bobby	2006	PG13	108	A,C	\N
407887	The Departed	2006	R	151	D,T	\N
455590	The Last King of Scotland	2006	R	121	D,T	\N
454921	The Pursuit of Happyness	2006	PG13	117	D	\N
436697	The Queen	2006	PG13	103	D	\N
388795	Brokeback Mountain	2005	R	134	D,R	\N
379725	Capote	2005	R	114	D	\N
371606	Chicken Little	2005	G	81	A,N,C,F,S	\N
120667	Fantastic Four	2005	PG13	106	A,V,Y,S	\N
365737	Syriana	2005	R	126	D,T	\N
387131	The Constant Gardener	2005	R	129	D,T	\N
398165	The Longest Yard	2005	PG13	113	A,C,D	\N
358273	Walk the Line	2005	PG13	136	D,R	\N
375679	Crash	2004	\N	113	D	\N
343818	I, Robot	2004	PG13	115	A,S,T	\N
405159	Million Dollar Baby	2004	PG13	132	D	\N
350258	Ray	2004	PG13	152	D	\N
307453	Shark Tale	2004	PG	90	N,C,F	\N
338751	The Aviator	2004	PG13	170	D	\N
332452	Troy	2004	R	163	A,V,D,R,W	\N
305224	Anger Management	2003	PG13	106	C	\N
172156	Bad Boys II	2003	R	147	A,C,T	\N
305669	Bringing Down the House	2003	PG13	105	C	\N
349205	Cheaper by the Dozen	2003	PG	98	C,D	\N
159365	Cold Mountain	2003	R	152	D,R,W	\N
286716	Hulk	2003	PG13	138	A,D,S	\N
242653	Matrix Revolutions, The	2003	R	129	A,S,T	\N
340855	Monster	2003	R	109	D	\N
327056	Mystic River	2003	R	137	D,M	\N
181852	Terminator 3: Rise of the Machines	2003	R	109	A,S,T	\N
268126	Adaptation.	2002	R	114	C,D	\N
246460	Die Another Day	2002	PG13	132	A,V,T	\N
274558	Hours, The	2002	PG13	114	D	\N
